Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (391.6 13.6 -400.8)",1,0,99,"(391.6, 13.6, -400.8)"
Spawn Point Wander,"Spawn Point (234.3 27.0 -318.0)",1,0,99,"(234.3, 27.0, -318.0)"
Spawn Point Wander,"Spawn Point (-486.6 0.2 330.6)",1,0,99,"(-486.6, 0.2, 330.6)"
Spawn Point Wander,"Spawn Point (102.6 7.2 -152.2)",1,0,99,"(102.6, 7.2, -152.2)"
Spawn Point Wander,"Spawn Point (-253.7 26.8 -431.9)",1,0,99,"(-253.7, 26.8, -431.9)"
Spawn Point Wander,"Spawn Point (365.6 13.4 -700.8)",1,0,99,"(365.6, 13.4, -700.8)"
Spawn Point Wander,"Spawn Point (-429.0 25.5 -81.7)",1,0,99,"(-429.0, 25.5, -81.7)"
Spawn Point Wander,"Spawn Point (-359.8 0.9 239.7)",1,0,99,"(-359.8, 0.9, 239.7)"
Spawn Point Wander,"Spawn Point (-540.7 5.0 188.1)",1,0,99,"(-540.7, 5.0, 188.1)"
Spawn Point Wander,"Spawn Point (389.7 13.2 -403.9)",1,0,99,"(389.7, 13.2, -403.9)"
Spawn Point Wander,"Spawn Point (367.4 17.7 -594.9)",1,0,99,"(367.4, 17.7, -594.9)"
Spawn Point Wander,"Spawn Point (373.6 -1.9 -76.2)",1,0,99,"(373.6, -1.9, -76.2)"
Spawn Point Wander,"Spawn Point (-49.8 8.0 -766.4)",1,0,99,"(-49.8, 8.0, -766.4)"
Spawn Point Wander,"Spawn Point (-6.4 11.0 -786.4)",1,0,99,"(-6.4, 11.0, -786.4)"
Spawn Point Wander,"Spawn Point (-218.3 31.6 -202.2)",1,0,99,"(-218.3, 31.6, -202.2)"
Spawn Point Wander,"Spawn Point (487.4 -18.6 330.8)",1,0,99,"(487.4, -18.6, 330.8)"
Spawn Point Wander,"Spawn Point (-117.6 11.9 -729.4)",1,0,99,"(-117.6, 11.9, -729.4)"
Spawn Point Wander,"Spawn Point (242.9 1.5 -164.3)",1,0,99,"(242.9, 1.5, -164.3)"
Spawn Point Wander,"Spawn Point (-521.2 7.3 154.3)",1,0,99,"(-521.2, 7.3, 154.3)"
Spawn Point Wander,"Spawn Point (-61.0 9.2 -579.6)",1,0,99,"(-61.0, 9.2, -579.6)"
Spawn Point Wander,"Spawn Point (391.5 12.9 -406.4)",1,0,99,"(391.5, 12.9, -406.4)"
Spawn Point Wander,"Spawn Point (-162.9 0.7 436.0)",1,0,99,"(-162.9, 0.7, 436.0)"
Spawn Point Wander,"Spawn Point (280.5 -12.5 312.4)",1,0,99,"(280.5, -12.5, 312.4)"
Spawn Point Wander,"Spawn Point (516.8 -20.9 264.4)",1,0,99,"(516.8, -20.9, 264.4)"
Spawn Point Wander,"Spawn Point (231.1 26.5 -317.4)",1,0,99,"(231.1, 26.5, -317.4)"
Spawn Point Wander,"Spawn Point (-60.3 18.9 -230.1)",1,0,99,"(-60.3, 18.9, -230.1)"
Spawn Point Wander,"Spawn Point (-507.3 12.1 -145.3)",1,0,99,"(-507.3, 12.1, -145.3)"
Spawn Point Wander,"Spawn Point (-298.8 15.9 -388.8)",1,0,99,"(-298.8, 15.9, -388.8)"
Spawn Point Wander,"Spawn Point (-254.1 27.4 -204.7)",1,0,99,"(-254.1, 27.4, -204.7)"
Spawn Point Wander,"Spawn Point (-59.6 9.1 -577.1)",1,0,99,"(-59.6, 9.1, -577.1)"
Spawn Point Wander,"Spawn Point (-92.3 -0.7 380.4)",1,0,99,"(-92.3, -0.7, 380.4)"
Spawn Point Wander,"Spawn Point (309.9 14.6 -576.9)",1,0,99,"(309.9, 14.6, -576.9)"
Spawn Point Wander,"Spawn Point (-277.3 30.9 -196.4)",1,0,99,"(-277.3, 30.9, -196.4)"
Spawn Point Wander,"Spawn Point (64.7 9.1 -656.6)",1,0,99,"(64.7, 9.1, -656.6)"
Spawn Point Wander,"Spawn Point (-346.5 -8.4 131.0)",1,0,99,"(-346.5, -8.4, 131.0)"
Spawn Point Wander,"Spawn Point (-253.7 11.6 -638.9)",1,0,99,"(-253.7, 11.6, -638.9)"
Spawn Point Wander,"Spawn Point (-308.1 13.8 -410.3)",1,0,99,"(-308.1, 13.8, -410.3)"
Spawn Point Wander,"Spawn Point (218.6 -12.3 279.4)",1,0,99,"(218.6, -12.3, 279.4)"
Spawn Point Wander,"Spawn Point (-140.0 30.8 -191.8)",1,0,99,"(-140.0, 30.8, -191.8)"
Spawn Point Wander,"Spawn Point (515.2 -20.9 264.4)",1,0,99,"(515.2, -20.9, 264.4)"
Spawn Point Wander,"Spawn Point (279.9 -12.1 317.7)",1,0,99,"(279.9, -12.1, 317.7)"
Spawn Point Wander,"Spawn Point (-147.9 31.1 -189.4)",1,0,99,"(-147.9, 31.1, -189.4)"
Spawn Point Wander,"Spawn Point (388.4 12.9 -410.3)",1,0,99,"(388.4, 12.9, -410.3)"
Spawn Point Wander,"Spawn Point (-526.7 11.2 86.9)",1,0,99,"(-526.7, 11.2, 86.9)"
Spawn Point Wander,"Spawn Point (278.8 -11.9 315.8)",1,0,99,"(278.8, -11.9, 315.8)"
Spawn Point Wander,"Spawn Point (231.6 -7.4 201.7)",1,0,99,"(231.6, -7.4, 201.7)"
Spawn Point Wander,"Spawn Point (-516.7 7.3 146.3)",1,0,99,"(-516.7, 7.3, 146.3)"
Spawn Point Wander,"Spawn Point (-2.3 -1.4 -74.6)",1,0,99,"(-2.3, -1.4, -74.6)"
Spawn Point Wander,"Spawn Point (235.0 26.9 -314.6)",1,0,99,"(235.0, 26.9, -314.6)"
Spawn Point Wander,"Spawn Point (-170.9 0.9 431.9)",1,0,99,"(-170.9, 0.9, 431.9)"
Spawn Point Wander,"Spawn Point (-329.1 18.8 -141.8)",1,0,99,"(-329.1, 18.8, -141.8)"
Spawn Point Wander,"Spawn Point (515.2 -20.8 261.5)",1,0,99,"(515.2, -20.8, 261.5)"
Spawn Point Wander,"Spawn Point (-440.0 15.5 -325.2)",1,0,99,"(-440.0, 15.5, -325.2)"
Spawn Point Wander,"Spawn Point (487.4 -18.1 328.5)",1,0,99,"(487.4, -18.1, 328.5)"
Spawn Point Wander,"Spawn Point (-525.3 10.7 88.4)",1,0,99,"(-525.3, 10.7, 88.4)"
Spawn Point Wander,"Spawn Point (-515.5 12.2 -153.1)",1,0,99,"(-515.5, 12.2, -153.1)"
Spawn Point Wander,"Spawn Point (-537.8 -1.2 296.0)",1,0,99,"(-537.8, -1.2, 296.0)"
Spawn Point Wander,"Spawn Point (297.2 23.0 -434.4)",1,0,99,"(297.2, 23.0, -434.4)"
Spawn Point Wander,"Spawn Point (-540.7 5.0 133.9)",1,0,99,"(-540.7, 5.0, 133.9)"
Spawn Point Wander,"Spawn Point (311.7 23.0 -490.1)",1,0,99,"(311.7, 23.0, -490.1)"
Spawn Point Wander,"Spawn Point (366.0 4.4 -8.9)",1,0,99,"(366.0, 4.4, -8.9)"
Spawn Point Wander,"Spawn Point (-298.3 0.1 205.7)",1,0,99,"(-298.3, 0.1, 205.7)"
Spawn Point Wander,"Spawn Point (268.7 17.5 -756.9)",1,0,99,"(268.7, 17.5, -756.9)"
Spawn Rush,"Spawn Rush: Objective #1",1,0,99,"(-529.6, 11.1, 86.0)"
Boss Hunter (bossKojaniy),"Spawn Point (94.9 6.8 -203.7)",1,15,99,"(94.9, 6.8, -203.7)"
Boss Hunter (bossKojaniy),"Spawn Point (-63.8 19.2 -233.0)",1,15,99,"(-63.8, 19.2, -233.0)"
Boss Hunter (bossKojaniy),"Spawn Point (90.3 -15.8 116.2)",1,15,99,"(90.3, -15.8, 116.2)"
Boss Hunter (bossKojaniy),"Spawn Point (25.6 11.3 -226.6)",1,15,99,"(25.6, 11.3, -226.6)"
Boss Hunter (bossKojaniy),"Spawn Point (63.2 -7.6 35.2)",1,15,99,"(63.2, -7.6, 35.2)"
Boss Hunter (bossKojaniy),"Spawn Point (87.8 -15.9 114.4)",1,15,99,"(87.8, -15.9, 114.4)"
Boss Hunter (bossKojaniy),"Spawn Point (-12.3 13.8 -229.3)",1,15,99,"(-12.3, 13.8, -229.3)"
Boss Hunter (bossKojaniy),"Spawn Point (135.1 8.5 -174.2)",1,15,99,"(135.1, 8.5, -174.2)"
Boss Hunter (bossKojaniy),"Spawn Point (125.9 0.3 4.9)",1,15,99,"(125.9, 0.3, 4.9)"
Boss Hunter (bossKojaniy),"Spawn Point (72.9 11.9 -220.5)",1,15,99,"(72.9, 11.9, -220.5)"
Boss Hunter (bossKojaniy),"Spawn Point (102.6 7.2 -152.2)",1,15,99,"(102.6, 7.2, -152.2)"
Boss Hunter (bossKojaniy),"Spawn Point (-60.3 18.9 -230.1)",1,15,99,"(-60.3, 18.9, -230.1)"
Boss Hunter (bossKojaniy),"Spawn Point (-2.3 -1.4 -74.6)",1,15,99,"(-2.3, -1.4, -74.6)"
Boss Hunter (sectantPriest),"Spawn Point (94.9 6.8 -203.7)",1,15,99,"(94.9, 6.8, -203.7)"
Boss Hunter (sectantPriest),"Spawn Point (375.8 -1.1 -115.3)",1,15,99,"(375.8, -1.1, -115.3)"
Boss Hunter (sectantPriest),"Spawn Point (-63.8 19.2 -233.0)",1,15,99,"(-63.8, 19.2, -233.0)"
Boss Hunter (sectantPriest),"Spawn Point (348.8 -0.9 -155.9)",1,15,99,"(348.8, -0.9, -155.9)"
Boss Hunter (sectantPriest),"Spawn Point (-517.3 14.9 -366.0)",1,15,99,"(-517.3, 14.9, -366.0)"
Boss Hunter (sectantPriest),"Spawn Point (-174.9 13.6 -649.9)",1,15,99,"(-174.9, 13.6, -649.9)"
Boss Hunter (sectantPriest),"Spawn Point (90.3 -15.8 116.2)",1,15,99,"(90.3, -15.8, 116.2)"
Boss Hunter (sectantPriest),"Spawn Point (-439.4 15.3 -334.7)",1,15,99,"(-439.4, 15.3, -334.7)"
Boss Hunter (sectantPriest),"Spawn Point (-416.2 12.9 -468.8)",1,15,99,"(-416.2, 12.9, -468.8)"
Boss Hunter (sectantPriest),"Spawn Point (-130.0 9.6 -726.5)",1,15,99,"(-130.0, 9.6, -726.5)"
Boss Hunter (sectantPriest),"Spawn Point (318.8 -8.4 352.1)",1,15,99,"(318.8, -8.4, 352.1)"
Boss Hunter (sectantPriest),"Spawn Point (463.7 -12.2 115.7)",1,15,99,"(463.7, -12.2, 115.7)"
Boss Hunter (sectantPriest),"Spawn Point (101.1 15.6 -762.0)",1,15,99,"(101.1, 15.6, -762.0)"
Boss Hunter (sectantPriest),"Spawn Point (-203.6 1.1 417.3)",1,15,99,"(-203.6, 1.1, 417.3)"
Boss Hunter (sectantPriest),"Spawn Point (-171.7 14.8 -617.7)",1,15,99,"(-171.7, 14.8, -617.7)"
Boss Hunter (sectantPriest),"Spawn Point (-155.2 18.3 -620.4)",1,15,99,"(-155.2, 18.3, -620.4)"
Boss Hunter (sectantPriest),"Spawn Point (-153.0 0.4 434.8)",1,15,99,"(-153.0, 0.4, 434.8)"
Boss Hunter (sectantPriest),"Spawn Point (-174.5 9.4 -713.9)",1,15,99,"(-174.5, 9.4, -713.9)"
Boss Hunter (sectantPriest),"Spawn Point (-86.9 7.9 -752.7)",1,15,99,"(-86.9, 7.9, -752.7)"
Boss Hunter (sectantPriest),"Spawn Point (-103.4 23.2 -214.6)",1,15,99,"(-103.4, 23.2, -214.6)"
Boss Hunter (sectantPriest),"Spawn Point (25.6 11.3 -226.6)",1,15,99,"(25.6, 11.3, -226.6)"
Boss Hunter (sectantPriest),"Spawn Point (104.0 17.6 -757.7)",1,15,99,"(104.0, 17.6, -757.7)"
Boss Hunter (sectantPriest),"Spawn Point (-414.2 16.7 -362.9)",1,15,99,"(-414.2, 16.7, -362.9)"
Boss Hunter (sectantPriest),"Spawn Point (157.5 24.4 -690.6)",1,15,99,"(157.5, 24.4, -690.6)"
Boss Hunter (sectantPriest),"Spawn Point (-155.2 -2.1 181.2)",1,15,99,"(-155.2, -2.1, 181.2)"
Boss Hunter (sectantPriest),"Spawn Point (-130.6 13.0 -623.2)",1,15,99,"(-130.6, 13.0, -623.2)"
Boss Hunter (sectantPriest),"Spawn Point (442.5 -17.5 261.2)",1,15,99,"(442.5, -17.5, 261.2)"
Boss Hunter (sectantPriest),"Spawn Point (-158.7 -4.3 296.5)",1,15,99,"(-158.7, -4.3, 296.5)"
Boss Hunter (sectantPriest),"Spawn Point (63.2 -7.6 35.2)",1,15,99,"(63.2, -7.6, 35.2)"
Boss Hunter (sectantPriest),"Spawn Point (-413.1 16.0 -350.7)",1,15,99,"(-413.1, 16.0, -350.7)"
Boss Hunter (sectantPriest),"Spawn Point (-110.0 -12.9 241.0)",1,15,99,"(-110.0, -12.9, 241.0)"
Boss Hunter (sectantPriest),"Spawn Point (-544.3 11.0 -438.9)",1,15,99,"(-544.3, 11.0, -438.9)"
Boss Hunter (sectantPriest),"Spawn Point (135.9 8.5 -665.0)",1,15,99,"(135.9, 8.5, -665.0)"
Boss Hunter (sectantPriest),"Spawn Point (87.8 -15.9 114.4)",1,15,99,"(87.8, -15.9, 114.4)"
Boss Hunter (sectantPriest),"Spawn Point (-108.5 10.1 -609.9)",1,15,99,"(-108.5, 10.1, -609.9)"
Boss Hunter (sectantPriest),"Spawn Point (280.4 8.3 -674.5)",1,15,99,"(280.4, 8.3, -674.5)"
Boss Hunter (sectantPriest),"Spawn Point (443.5 -11.4 84.1)",1,15,99,"(443.5, -11.4, 84.1)"
Boss Hunter (sectantPriest),"Spawn Point (187.1 3.4 -149.6)",1,15,99,"(187.1, 3.4, -149.6)"
Boss Hunter (sectantPriest),"Spawn Point (269.7 17.0 -758.6)",1,15,99,"(269.7, 17.0, -758.6)"
Boss Hunter (sectantPriest),"Spawn Point (9.7 15.7 -780.6)",1,15,99,"(9.7, 15.7, -780.6)"
Boss Hunter (sectantPriest),"Spawn Point (-231.2 1.1 400.9)",1,15,99,"(-231.2, 1.1, 400.9)"
Boss Hunter (sectantPriest),"Spawn Point (-507.0 24.6 -276.8)",1,15,99,"(-507.0, 24.6, -276.8)"
Boss Hunter (sectantPriest),"Spawn Point (-52.2 7.9 -763.9)",1,15,99,"(-52.2, 7.9, -763.9)"
Boss Hunter (sectantPriest),"Spawn Point (-171.6 1.0 432.3)",1,15,99,"(-171.6, 1.0, 432.3)"
Boss Hunter (sectantPriest),"Spawn Point (366.8 1.1 0.6)",1,15,99,"(366.8, 1.1, 0.6)"
Boss Hunter (sectantPriest),"Spawn Point (-199.9 33.5 -193.5)",1,15,99,"(-199.9, 33.5, -193.5)"
Boss Hunter (sectantPriest),"Spawn Point (-181.3 34.1 -164.1)",1,15,99,"(-181.3, 34.1, -164.1)"
Boss Hunter (sectantPriest),"Spawn Point (281.7 8.2 -668.6)",1,15,99,"(281.7, 8.2, -668.6)"
Boss Hunter (sectantPriest),"Spawn Point (-561.1 15.2 -355.3)",1,15,99,"(-561.1, 15.2, -355.3)"
Boss Hunter (sectantPriest),"Spawn Point (-84.2 8.8 -607.8)",1,15,99,"(-84.2, 8.8, -607.8)"
Boss Hunter (sectantPriest),"Spawn Point (457.3 -11.0 97.5)",1,15,99,"(457.3, -11.0, 97.5)"
Boss Hunter (sectantPriest),"Spawn Point (280.5 8.0 -665.4)",1,15,99,"(280.5, 8.0, -665.4)"
Boss Hunter (sectantPriest),"Spawn Point (-12.3 13.8 -229.3)",1,15,99,"(-12.3, 13.8, -229.3)"
Boss Hunter (sectantPriest),"Spawn Point (355.3 -0.3 -91.5)",1,15,99,"(355.3, -0.3, -91.5)"
Boss Hunter (sectantPriest),"Spawn Point (-39.3 -13.5 348.4)",1,15,99,"(-39.3, -13.5, 348.4)"
Boss Hunter (sectantPriest),"Spawn Point (135.1 8.5 -174.2)",1,15,99,"(135.1, 8.5, -174.2)"
Boss Hunter (sectantPriest),"Spawn Point (-131.7 28.5 -197.8)",1,15,99,"(-131.7, 28.5, -197.8)"
Boss Hunter (sectantPriest),"Spawn Point (2.8 14.8 -777.3)",1,15,99,"(2.8, 14.8, -777.3)"
Boss Hunter (sectantPriest),"Spawn Point (-473.3 22.1 -218.4)",1,15,99,"(-473.3, 22.1, -218.4)"
Boss Hunter (sectantPriest),"Spawn Point (96.4 15.0 -761.1)",1,15,99,"(96.4, 15.0, -761.1)"
Boss Hunter (sectantPriest),"Spawn Point (-442.6 15.3 -180.7)",1,15,99,"(-442.6, 15.3, -180.7)"
Boss Hunter (sectantPriest),"Spawn Point (-94.1 -1.3 387.8)",1,15,99,"(-94.1, -1.3, 387.8)"
Boss Hunter (sectantPriest),"Spawn Point (-416.2 15.8 -434.3)",1,15,99,"(-416.2, 15.8, -434.3)"
Boss Hunter (sectantPriest),"Spawn Point (-56.0 7.6 -759.4)",1,15,99,"(-56.0, 7.6, -759.4)"
Boss Hunter (sectantPriest),"Spawn Point (-23.7 9.1 -779.8)",1,15,99,"(-23.7, 9.1, -779.8)"
Boss Hunter (sectantPriest),"Spawn Point (307.9 -0.6 -159.8)",1,15,99,"(307.9, -0.6, -159.8)"
Boss Hunter (sectantPriest),"Spawn Point (125.9 0.3 4.9)",1,15,99,"(125.9, 0.3, 4.9)"
Boss Hunter (sectantPriest),"Spawn Point (179.0 18.1 -771.4)",1,15,99,"(179.0, 18.1, -771.4)"
Boss Hunter (sectantPriest),"Spawn Point (72.9 11.9 -220.5)",1,15,99,"(72.9, 11.9, -220.5)"
Boss Hunter (sectantPriest),"Spawn Point (213.5 -14.7 292.0)",1,15,99,"(213.5, -14.7, 292.0)"
Boss Hunter (sectantPriest),"Spawn Point (472.0 -18.4 229.5)",1,15,99,"(472.0, -18.4, 229.5)"
Boss Hunter (sectantPriest),"Spawn Point (-352.3 -8.3 132.1)",1,15,99,"(-352.3, -8.3, 132.1)"
Boss Hunter (sectantPriest),"Spawn Point (263.9 17.3 -762.5)",1,15,99,"(263.9, 17.3, -762.5)"
Boss Hunter (sectantPriest),"Spawn Point (-293.7 29.0 -199.7)",1,15,99,"(-293.7, 29.0, -199.7)"
Boss Hunter (sectantPriest),"Spawn Point (-517.1 14.2 -160.3)",1,15,99,"(-517.1, 14.2, -160.3)"
Boss Hunter (sectantPriest),"Spawn Point (-389.7 14.5 -423.3)",1,15,99,"(-389.7, 14.5, -423.3)"
Boss Hunter (sectantPriest),"Spawn Point (-530.8 13.8 -404.1)",1,15,99,"(-530.8, 13.8, -404.1)"
Boss Hunter (sectantPriest),"Spawn Point (102.6 7.2 -152.2)",1,15,99,"(102.6, 7.2, -152.2)"
Boss Hunter (sectantPriest),"Spawn Point (-49.8 8.0 -766.4)",1,15,99,"(-49.8, 8.0, -766.4)"
Boss Hunter (sectantPriest),"Spawn Point (-6.4 11.0 -786.4)",1,15,99,"(-6.4, 11.0, -786.4)"
Boss Hunter (sectantPriest),"Spawn Point (-218.3 31.6 -202.2)",1,15,99,"(-218.3, 31.6, -202.2)"
Boss Hunter (sectantPriest),"Spawn Point (-117.6 11.9 -729.4)",1,15,99,"(-117.6, 11.9, -729.4)"
Boss Hunter (sectantPriest),"Spawn Point (242.9 1.5 -164.3)",1,15,99,"(242.9, 1.5, -164.3)"
Boss Hunter (sectantPriest),"Spawn Point (-162.9 0.7 436.0)",1,15,99,"(-162.9, 0.7, 436.0)"
Boss Hunter (sectantPriest),"Spawn Point (-60.3 18.9 -230.1)",1,15,99,"(-60.3, 18.9, -230.1)"
Boss Hunter (sectantPriest),"Spawn Point (-277.3 30.9 -196.4)",1,15,99,"(-277.3, 30.9, -196.4)"
Boss Hunter (sectantPriest),"Spawn Point (-346.5 -8.4 131.0)",1,15,99,"(-346.5, -8.4, 131.0)"
Boss Hunter (sectantPriest),"Spawn Point (218.6 -12.3 279.4)",1,15,99,"(218.6, -12.3, 279.4)"
Boss Hunter (sectantPriest),"Spawn Point (-140.0 30.8 -191.8)",1,15,99,"(-140.0, 30.8, -191.8)"
Boss Hunter (sectantPriest),"Spawn Point (-147.9 31.1 -189.4)",1,15,99,"(-147.9, 31.1, -189.4)"
Boss Hunter (sectantPriest),"Spawn Point (-2.3 -1.4 -74.6)",1,15,99,"(-2.3, -1.4, -74.6)"
Boss Hunter (sectantPriest),"Spawn Point (-170.9 0.9 431.9)",1,15,99,"(-170.9, 0.9, 431.9)"
Boss Hunter (sectantPriest),"Spawn Point (-440.0 15.5 -325.2)",1,15,99,"(-440.0, 15.5, -325.2)"
Boss Hunter (sectantPriest),"Spawn Point (366.0 4.4 -8.9)",1,15,99,"(366.0, 4.4, -8.9)"
Boss Hunter (sectantPriest),"Spawn Point (-298.3 0.1 205.7)",1,15,99,"(-298.3, 0.1, 205.7)"
Boss Hunter (sectantPriest),"Spawn Point (268.7 17.5 -756.9)",1,15,99,"(268.7, 17.5, -756.9)"
Boss Hunter (pmcBot),"Spawn Point (94.9 6.8 -203.7)",1,15,99,"(94.9, 6.8, -203.7)"
Boss Hunter (pmcBot),"Spawn Point (375.8 -1.1 -115.3)",1,15,99,"(375.8, -1.1, -115.3)"
Boss Hunter (pmcBot),"Spawn Point (-63.8 19.2 -233.0)",1,15,99,"(-63.8, 19.2, -233.0)"
Boss Hunter (pmcBot),"Spawn Point (348.8 -0.9 -155.9)",1,15,99,"(348.8, -0.9, -155.9)"
Boss Hunter (pmcBot),"Spawn Point (-517.3 14.9 -366.0)",1,15,99,"(-517.3, 14.9, -366.0)"
Boss Hunter (pmcBot),"Spawn Point (90.3 -15.8 116.2)",1,15,99,"(90.3, -15.8, 116.2)"
Boss Hunter (pmcBot),"Spawn Point (-439.4 15.3 -334.7)",1,15,99,"(-439.4, 15.3, -334.7)"
Boss Hunter (pmcBot),"Spawn Point (-416.2 12.9 -468.8)",1,15,99,"(-416.2, 12.9, -468.8)"
Boss Hunter (pmcBot),"Spawn Point (318.8 -8.4 352.1)",1,15,99,"(318.8, -8.4, 352.1)"
Boss Hunter (pmcBot),"Spawn Point (463.7 -12.2 115.7)",1,15,99,"(463.7, -12.2, 115.7)"
Boss Hunter (pmcBot),"Spawn Point (101.1 15.6 -762.0)",1,15,99,"(101.1, 15.6, -762.0)"
Boss Hunter (pmcBot),"Spawn Point (-203.6 1.1 417.3)",1,15,99,"(-203.6, 1.1, 417.3)"
Boss Hunter (pmcBot),"Spawn Point (-153.0 0.4 434.8)",1,15,99,"(-153.0, 0.4, 434.8)"
Boss Hunter (pmcBot),"Spawn Point (-103.4 23.2 -214.6)",1,15,99,"(-103.4, 23.2, -214.6)"
Boss Hunter (pmcBot),"Spawn Point (25.6 11.3 -226.6)",1,15,99,"(25.6, 11.3, -226.6)"
Boss Hunter (pmcBot),"Spawn Point (104.0 17.6 -757.7)",1,15,99,"(104.0, 17.6, -757.7)"
Boss Hunter (pmcBot),"Spawn Point (-414.2 16.7 -362.9)",1,15,99,"(-414.2, 16.7, -362.9)"
Boss Hunter (pmcBot),"Spawn Point (157.5 24.4 -690.6)",1,15,99,"(157.5, 24.4, -690.6)"
Boss Hunter (pmcBot),"Spawn Point (-155.2 -2.1 181.2)",1,15,99,"(-155.2, -2.1, 181.2)"
Boss Hunter (pmcBot),"Spawn Point (442.5 -17.5 261.2)",1,15,99,"(442.5, -17.5, 261.2)"
Boss Hunter (pmcBot),"Spawn Point (-158.7 -4.3 296.5)",1,15,99,"(-158.7, -4.3, 296.5)"
Boss Hunter (pmcBot),"Spawn Point (63.2 -7.6 35.2)",1,15,99,"(63.2, -7.6, 35.2)"
Boss Hunter (pmcBot),"Spawn Point (-413.1 16.0 -350.7)",1,15,99,"(-413.1, 16.0, -350.7)"
Boss Hunter (pmcBot),"Spawn Point (-110.0 -12.9 241.0)",1,15,99,"(-110.0, -12.9, 241.0)"
Boss Hunter (pmcBot),"Spawn Point (-544.3 11.0 -438.9)",1,15,99,"(-544.3, 11.0, -438.9)"
Boss Hunter (pmcBot),"Spawn Point (135.9 8.5 -665.0)",1,15,99,"(135.9, 8.5, -665.0)"
Boss Hunter (pmcBot),"Spawn Point (87.8 -15.9 114.4)",1,15,99,"(87.8, -15.9, 114.4)"
Boss Hunter (pmcBot),"Spawn Point (280.4 8.3 -674.5)",1,15,99,"(280.4, 8.3, -674.5)"
Boss Hunter (pmcBot),"Spawn Point (443.5 -11.4 84.1)",1,15,99,"(443.5, -11.4, 84.1)"
Boss Hunter (pmcBot),"Spawn Point (187.1 3.4 -149.6)",1,15,99,"(187.1, 3.4, -149.6)"
Boss Hunter (pmcBot),"Spawn Point (269.7 17.0 -758.6)",1,15,99,"(269.7, 17.0, -758.6)"
Boss Hunter (pmcBot),"Spawn Point (-231.2 1.1 400.9)",1,15,99,"(-231.2, 1.1, 400.9)"
Boss Hunter (pmcBot),"Spawn Point (-507.0 24.6 -276.8)",1,15,99,"(-507.0, 24.6, -276.8)"
Boss Hunter (pmcBot),"Spawn Point (-171.6 1.0 432.3)",1,15,99,"(-171.6, 1.0, 432.3)"
Boss Hunter (pmcBot),"Spawn Point (366.8 1.1 0.6)",1,15,99,"(366.8, 1.1, 0.6)"
Boss Hunter (pmcBot),"Spawn Point (-199.9 33.5 -193.5)",1,15,99,"(-199.9, 33.5, -193.5)"
Boss Hunter (pmcBot),"Spawn Point (-181.3 34.1 -164.1)",1,15,99,"(-181.3, 34.1, -164.1)"
Boss Hunter (pmcBot),"Spawn Point (281.7 8.2 -668.6)",1,15,99,"(281.7, 8.2, -668.6)"
Boss Hunter (pmcBot),"Spawn Point (-561.1 15.2 -355.3)",1,15,99,"(-561.1, 15.2, -355.3)"
Boss Hunter (pmcBot),"Spawn Point (457.3 -11.0 97.5)",1,15,99,"(457.3, -11.0, 97.5)"
Boss Hunter (pmcBot),"Spawn Point (280.5 8.0 -665.4)",1,15,99,"(280.5, 8.0, -665.4)"
Boss Hunter (pmcBot),"Spawn Point (-12.3 13.8 -229.3)",1,15,99,"(-12.3, 13.8, -229.3)"
Boss Hunter (pmcBot),"Spawn Point (355.3 -0.3 -91.5)",1,15,99,"(355.3, -0.3, -91.5)"
Boss Hunter (pmcBot),"Spawn Point (-39.3 -13.5 348.4)",1,15,99,"(-39.3, -13.5, 348.4)"
Boss Hunter (pmcBot),"Spawn Point (135.1 8.5 -174.2)",1,15,99,"(135.1, 8.5, -174.2)"
Boss Hunter (pmcBot),"Spawn Point (-131.7 28.5 -197.8)",1,15,99,"(-131.7, 28.5, -197.8)"
Boss Hunter (pmcBot),"Spawn Point (-473.3 22.1 -218.4)",1,15,99,"(-473.3, 22.1, -218.4)"
Boss Hunter (pmcBot),"Spawn Point (96.4 15.0 -761.1)",1,15,99,"(96.4, 15.0, -761.1)"
Boss Hunter (pmcBot),"Spawn Point (-442.6 15.3 -180.7)",1,15,99,"(-442.6, 15.3, -180.7)"
Boss Hunter (pmcBot),"Spawn Point (-94.1 -1.3 387.8)",1,15,99,"(-94.1, -1.3, 387.8)"
Boss Hunter (pmcBot),"Spawn Point (-416.2 15.8 -434.3)",1,15,99,"(-416.2, 15.8, -434.3)"
Boss Hunter (pmcBot),"Spawn Point (307.9 -0.6 -159.8)",1,15,99,"(307.9, -0.6, -159.8)"
Boss Hunter (pmcBot),"Spawn Point (125.9 0.3 4.9)",1,15,99,"(125.9, 0.3, 4.9)"
Boss Hunter (pmcBot),"Spawn Point (179.0 18.1 -771.4)",1,15,99,"(179.0, 18.1, -771.4)"
Boss Hunter (pmcBot),"Spawn Point (72.9 11.9 -220.5)",1,15,99,"(72.9, 11.9, -220.5)"
Boss Hunter (pmcBot),"Spawn Point (213.5 -14.7 292.0)",1,15,99,"(213.5, -14.7, 292.0)"
Boss Hunter (pmcBot),"Spawn Point (472.0 -18.4 229.5)",1,15,99,"(472.0, -18.4, 229.5)"
Boss Hunter (pmcBot),"Spawn Point (-352.3 -8.3 132.1)",1,15,99,"(-352.3, -8.3, 132.1)"
